1	Detector 1	Detector 2	Error 1	Error 2
25	3,138	2,714	56.0179	52.0961
50	3,594	3,380	59.95	58.1378
75	4,459	3,658	66.7757	60.4814
100	5,258	4,306	72.5121	65.6201
125	4,919	3,522	70.1356	59.3464
150	3,824	3,058	61.8385	55.2992
175	3,195	2,620	56.5243	51.1859
200	2,734	2,073	52.2877	45.5302
225	2,557	1,967	50.5668	44.3509
250	2,390	1,812	48.8876	42.5676
275	2,276	1,657	47.7074	40.7063
300	2,346	1,695	48.4355	41.1704
325	2,353	1,689	48.5077	41.0974
350	2,329	1,672	48.2597	40.8901
375	2,479	1,901	49.7896	43.6005
400	2,619	1,971	51.1762	44.3959
425	2,734	1,980	52.2877	44.4972
450	2,529	2,111	50.2892	45.9456
475	2,166	1,895	46.5403	43.5316
500	1,809	1,591	42.5323	39.8873
525	1,851	1,341	43.0232	36.6197
550	3,108	1,603	55.7494	40.0375
537	2,335	1,405	48.3218	37.4833
565	3,952	1,953	62.8649	44.1928
580	3,752	2,550	61.2536	50.4975
595	2,651	2,926	51.4879	54.0925
610	1,904	2,619	43.6348	51.1762
625	2,113	1,858	45.9674	43.1045
640	2,828	1,427	53.1789	37.7757
655	2,901	1,707	53.8609	41.3159
670	2,073	2,058	45.5302	45.3652
685	1,045	1,982	32.3265	44.5197
700	358	1,471	18.9209	38.3536
715	128	817	11.3137	28.5832
740	30	184	5.47723	13.5647
765	35	39	5.91608	6.245
780	18	31	4.24264	5.56776
800	25	18	5	4.24264
